title,album,attribution,members,release_date,bpm,duration
Heartbeat Runners,TOKIMEKI Runners,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2018.11.21,180,4:36
A Step Towards the Dream,TOKIMEKI Runners,Ayumu Uehara,Ayumu Uehara,2018.11.21,170,4:47
Diamond,TOKIMEKI Runners,Kasumi Nakasu,Kasumi Nakasu,2018.11.21,175,3:53
Your Ideal Heroine,TOKIMEKI Runners,Shizuku Osaka,Shizuku Osaka,2018.11.21,89,5:26
Starlight,TOKIMEKI Runners,Karin Asaka,Karin Asaka,2018.11.21,128,3:44
Super Going!!,TOKIMEKI Runners,Ai Miyashita,Ai Miyashita,2018.11.21,132,4:46
I Want to Go to the Sleeping Forest,TOKIMEKI Runners,Kanata Konoe,Kanata Konoe,2018.11.21,98,3:24
CHASE!,TOKIMEKI Runners,Setsuna Yuki,Setsuna Yuki,2018.11.21,170,4:18
Evergreen,TOKIMEKI Runners,Emma Verde,Emma Verde,2018.11.21,120,4:55
Heartbeat * Emotion,TOKIMEKI Runners,Rina Tennoji,Rina Tennoji,2018.11.21,168,4:30
Love U my Friends,Love U my Friends,Nijigasaki (9 Members),"Ayumu Uehara, Kasumi Nakasu, Shizuku Osaka, Karin Asaka, Ai Miyashita, Kanata Konoe, Setsuna Yuki, Emma Verde, Rina Tennoji",2019.10.02,170,3:59
Declaration of Blooming,Love U my Friends,Ayumu Uehara,Ayumu Uehara,2019.10.02,135,4:16
*Wonderland*,Love U my Friends,Kasumi Nakasu,Kasumi Nakasu,2019.10.02,160,3:04
Audrey,Love U my Friends,Shizuku Osaka,Shizuku Osaka,2019.10.02,150,3:54
Wish,Love U my Friends,Karin Asaka,Karin Asaka,2019.10.02,77,5:10
Yuu & Ai,Love U my Friends,Ai Miyashita,Ai Miyashita,2019.10.02,145,4:12
My Own Fairy-Tale,Love U my Friends,Kanata Konoe,Kanata Konoe,2019.10.02,110,4:40
MELODY,Love U my Friends,Setsuna Yuki,Setsuna Yuki,2019.10.02,115,4:29
